Order Number,Order Date,Item Name,Quantity
16118,3/8/2019 20:25,Plain Papadum,2
16118,3/8/2019 20:25,King Prawn Balti,1
16118,3/8/2019 20:25,Garlic Naan,1
16118,3/8/2019 20:25,Mushroom Rice,1
16118,3/8/2019 20:25,Paneer Tikka Masala,1
16118,3/8/2019 20:25,Mango Chutney,1
16117,3/8/2019 20:17,Plain Naan,1
16117,3/8/2019 20:17,Mushroom Rice,1
16117,3/8/2019 20:17,Tandoori Chicken (1/4),1
16117,3/8/2019 20:17,Vindaloo - Lamb,1
16117,3/8/2019 20:17,Chapati,1
16117,3/8/2019 20:17,Lamb Tikka,1
16117,3/8/2019 20:17,Saag Paneer,1
16116,3/8/2019 20:09,Aloo Chaat,1
16116,3/8/2019 20:09,Chicken Pakora,1
16116,3/8/2019 20:09,Chicken Chilli Garlic,1
16116,3/8/2019 20:09,Lamb Biryani,1
16116,3/8/2019 20:09,Keema Naan,1
16115,3/8/2019 20:01,Chicken Pakora,1
16115,3/8/2019 20:01,Plain Papadum,1
16115,3/8/2019 20:01,Mango Chutney,1
16115,3/8/2019 20:01,Red Sauce,1
16115,3/8/2019 20:01,Korma - Prawn,1
16115,3/8/2019 20:01,Peshwari Naan,1
16115,3/8/2019 20:01,Pilau Rice,1
16114,3/8/2019 19:44,Chicken Balti,1
16114,3/8/2019 19:44,Special Fried Rice,2
16113,3/8/2019 19:42,Chicken Tikka Masala,1
16113,3/8/2019 19:42,Curry - Lamb,1
16113,3/8/2019 19:42,Pilau Rice,1
16113,3/8/2019 19:42,Peshwari Naan,1
16113,3/8/2019 19:42,Plain Papadum,1
16112,3/8/2019 19:41,Plain Papadum,2
16112,3/8/2019 19:41,Vegetable Rice,1
16112,3/8/2019 19:41,Saag - Prawn,1
16112,3/8/2019 19:41,Tandoori Chicken Masala,1
16111,3/8/2019 19:29,Pilau Rice,1
16111,3/8/2019 19:29,Lamb Tikka Chilli Masala,1
16111,3/8/2019 19:29,Peshwari Naan,1
16111,3/8/2019 19:29,Saag Aloo,1
16110,3/8/2019 19:28,Aloo Gobi,1
16110,3/8/2019 19:28,Bhindi Bhajee,1
16110,3/8/2019 19:28,Saag Paneer,1
16110,3/8/2019 19:28,Mint Sauce,2
16110,3/8/2019 19:28,Chicken Biryani,1
16110,3/8/2019 19:28,Garlic Naan,1
16110,3/8/2019 19:28,Plain Naan,1
16110,3/8/2019 19:28,Tandoori Chicken Masala,1
16109,3/8/2019 19:26,Plain Papadum,4
16109,3/8/2019 19:26,Red Sauce,2
16109,3/8/2019 19:26,Chicken Tikka Masala,1
16109,3/8/2019 19:26,Madras - Chicken Tikka,1
16109,3/8/2019 19:26,Mushroom Rice,2
16109,3/8/2019 19:26,Garlic Naan,1
16109,3/8/2019 19:26,Bombay Aloo,1
16108,3/8/2019 19:25,Onion Bhajee,1
16108,3/8/2019 19:25,Sheek Kebab,1
16108,3/8/2019 19:25,Plain Papadum,8
16108,3/8/2019 19:25,Mango Chutney,2
16108,3/8/2019 19:25,Mint Sauce,2
16108,3/8/2019 19:25,Onion Chutney,1
16108,3/8/2019 19:25,Chicken Tikka (Main),1
16108,3/8/2019 19:25,Korma - Chicken,1
16108,3/8/2019 19:25,Chicken Tikka Masala,1
16108,3/8/2019 19:25,Plain Rice,1
16108,3/8/2019 19:25,Pilau Rice,1
16108,3/8/2019 19:25,Keema Naan,2
16108,3/8/2019 19:25,French Fries,1
16108,3/8/2019 19:25,Chicken Biryani,1
16108,3/8/2019 19:25,Mushroom Rice,1
16107,3/8/2019 19:16,Onion Bhajee,1
16107,3/8/2019 19:16,Korma - Chicken,1
16107,3/8/2019 19:16,Peshwari Naan,1
16107,3/8/2019 19:16,Pilau Rice,1
16106,3/8/2019 18:37,Chicken Tikka (Main),1
16106,3/8/2019 18:37,Chicken Tikka Masala,1
16106,3/8/2019 18:37,Meat Samosa,1
16105,3/8/2019 18:36,Plain Papadum,2
16105,3/8/2019 18:36,Mango Chutney,1
16105,3/8/2019 18:36,Mint Sauce,1
16105,3/8/2019 18:36,Red Sauce,1
16105,3/8/2019 18:36,Keema Rice,1
16105,3/8/2019 18:36,Keema Naan,1
16105,3/8/2019 18:36,Chicken Chilli Garlic,1
16105,3/8/2019 18:36,Lamb Hari Mirch,1
16105,3/8/2019 18:36,Mushroom Bhajee,1
16104,3/8/2019 18:36,Curry - Chicken,1
16104,3/8/2019 18:36,Bombay Aloo,1
16104,3/8/2019 18:36,Plain Naan,1
16104,3/8/2019 18:36,Vegetable Rice,1
16103,3/8/2019 18:34,Chicken Tikka Biryani,1
16103,3/8/2019 18:34,Mixed Starter,1
16102,3/8/2019 18:32,Onion Bhajee,1
16102,3/8/2019 18:32,Chicken Tikka Biryani,1
16102,3/8/2019 18:32,Bhuna - Chicken Tikka,1
16102,3/8/2019 18:32,Mushroom Rice,1
16101,3/8/2019 18:12,Keema Rice,1
16101,3/8/2019 18:12,Madras - Lamb,1
16101,3/8/2019 18:12,Bombay Aloo,1
16100,3/8/2019 18:00,Masala Sauce,1
16100,3/8/2019 18:00,Mushroom Rice,1
16100,3/8/2019 18:00,Bottle Coke,1
16100,3/8/2019 18:00,Peshwari Naan,1
16100,3/8/2019 18:00,Tandoori Mixed Grill,2
16100,3/8/2019 18:00,Plain Papadum,3
16100,3/8/2019 18:00,Mint Sauce,1
16100,3/8/2019 18:00,Mango Chutney,1
16100,3/8/2019 18:00,Korma Sauce,1
16099,3/8/2019 17:58,Pathia - Prawn,1
16099,3/8/2019 17:58,Chicken Biryani,1
16099,3/8/2019 17:58,Peshwari Naan,2
16099,3/8/2019 17:58,Plain Papadum,1
16099,3/8/2019 17:58,Mint Sauce,1
16098,3/8/2019 17:57,Chicken Tikka Jalfrezi,1
16098,3/8/2019 17:57,Bhuna - Lamb,1
16098,3/8/2019 17:57,Special Fried Rice,2
16098,3/8/2019 17:57,Peshwari Naan,1
16098,3/8/2019 17:57,Aloo Gobi,1
16098,3/8/2019 17:57,Chicken Tikka Masala,1
16097,3/8/2019 17:52,Meat Samosa,1
16097,3/8/2019 17:52,Mixed Vegetable Curry,1
16097,3/8/2019 17:52,Dupiaza - Lamb,1
16097,3/8/2019 17:52,Lemon Rice,1
16097,3/8/2019 17:52,Methi - Lamb,1
16097,3/8/2019 17:52,Pilau Rice,1
16097,3/8/2019 17:52,Garlic Naan,1
16097,3/8/2019 17:52,Onion Bhajee,1
16097,3/8/2019 17:52,Spicy Papadum,1
16096,3/8/2019 17:18,Plain Naan,1
16096,3/8/2019 17:18,Pilau Rice,1
16096,3/8/2019 17:18,Chicken Tikka Masala,1
16096,3/8/2019 17:18,Bhuna - Lamb,1
16096,3/8/2019 17:18,Plain Papadum,2
16095,3/8/2019 16:21,Lamb Biryani,1
16095,3/8/2019 16:21,Plain Naan,2
16094,2/8/2019 20:23,Lamb Tikka,1
16094,2/8/2019 20:23,Onion Bhajee,1
16094,2/8/2019 20:23,Saag Paneer,1
16094,2/8/2019 20:23,Chicken Tikka Masala,1
16094,2/8/2019 20:23,Keema Rice,1
16094,2/8/2019 20:23,Rogon - Lamb,1
16094,2/8/2019 20:23,Chicken Tikka Karahi,1
16094,2/8/2019 20:23,Pilau Rice,1
16094,2/8/2019 20:23,Bombay Aloo,1
16093,2/8/2019 20:18,Onion Bhajee,1
16093,2/8/2019 20:18,French Fries,1
16093,2/8/2019 20:18,Chicken Tikka Masala,1
16093,2/8/2019 20:18,Korma - Chicken,1
16093,2/8/2019 20:18,Plain Naan,1
16093,2/8/2019 20:18,Pilau Rice,1
16092,2/8/2019 19:33,Aloo Chaat,1
16092,2/8/2019 19:33,Chicken Tikka Masala,1
16092,2/8/2019 19:33,Garlic Naan,1
16092,2/8/2019 19:33,Pilau Rice,1
16092,2/8/2019 19:33,Bhuna - Chicken,1
16091,2/8/2019 19:19,Plain Papadum,3
16091,2/8/2019 19:19,Lemon Rice,1
16091,2/8/2019 19:19,Lamb Mysore,1
